CODE,NAME,AMOUNT,DATE,REPNAME,MARK,BALANCE
GH10001,CEMANDON COMPANY LTD(WATER REGION),15800,2025/5/20,徐亮,PICK UP MOMO,305288.74
GH10004,NIMOK(TUDU),4760,2024/6/26,KUMBALA,PICKUP CREDIT ESTHER Y,9795.5
GH10006,COASTAL BATTERY (TESANO),5000,2026/2/9,PRINCE B,SHOP CREDIT PRINCE B,5000
GH10007,SUPER O ENT (TEMA),18260,2025/7/3,BENEDICTA,"BENEDICTA, SEND TO SHOP EVERY 2 WEEKS",2048
GH10009,KMENS ENT (TEMA),12000,2026/2/11,BENEDICTA,"PICK UP CASH,BENY(Q)",57607
GH10010,JABPAH ENT (TEMA),116778.3,2026/1/22,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT",101239.55
GH10013,MR.B MOTORS (TEMA),39956,2025/10/14,BENEDICTA,SHOP CREDIT BENNY,28918
GH10015,YAW NSIAH BATTERY (TECHIMAN),4045,2023/7/14,KUMBALA,pay mmo today and pic kup,4310
GH10019,MR.JONES (TAKORADI),75411,2026/2/13,KUMBALA,"KUMBALA,SEND TO STATION ON CREDIT",75411
GH10025,AVETOS AUTO PARTS (TAIFA JUNCTION),2667.3,2026/1/24,AKORFA,PICK UP CASH AKORFA,129438.8
GH10026,NANA K.VENTURES(TAIFA JUNCTION),22400,2025/11/5,PRINCE B,SHOP CHEQUES OBENG,10801.56
GH10027,PK ASSAN ENTERPRISE(SWERDU),76882.2,2026/2/14,ESTHER YEBOAH,PICK UP CREDIT ESTHER Y,309618.54
GH10028,ODO NKOA ENTERPRISE (SWEDRU),6550,2026/2/10,ESTHER YEBOAH,PICK UP CASH STEPHAINE,22010.3
GH10032,KAFKUM,,,BENEDICTA,,4745
GH10033,OHENEBA BATTERY(NKAWKAW ),5250,2026/2/5,PRINCE B,"LATIFA,PICK UP ON CREDIT",66142.3
GH10034,GYAMFI MOTORS BATTERY (NKAWKAW),34580.5,2026/1/7,BENEDICTA,PICK UP CREDIT BENNY,851
GH10035,NEW TOWN GEORGE (NEW TOWN),126000,2026/1/29,PRINCE B,SHOP CREDIT,227229.6
GH10037,SEY SERVICES & SUPPLY (MATAHEKO MASS ROAD),4210,2025/9/12,PRINCE B,SHOP,9604
GH10038,RED J MOTOR (MADINA),72289.75,2026/1/22,AKORFA,SHOP CREDIT AKORFA,168887.23
GH10039,GREAT MAJESTY BATTERY (MADINA),44200,2025/10/14,AKORFA,SHOP WEEKLY ESTHER Y,58308
GH10041,EKUFUL KOBBY AND FRIENDS SPARE PARTS(MADINA),89870,2026/2/17,AKORFA,SHOP CREDIT SABINA,49229.18
GH10042,MIC-MAY ENT (MADINA),8320,2026/1/26,AKORFA,SEND TO SHOP ON CREDIT,249292.9
GH10043,MANNAN ENTERPRISE (MADINA),2460,2026/1/14,ESTHER YEBOAH,PICK UP CASH WAREHOSUE,514029.82
GH10050,TITANUIM BATTERY (KUMASI),600,2025/12/6,徐亮,"PICK UP CASH,MARVIN",600.74
GH10051,DAVID GYAMFI MOTORS (KUMASI),14400,2026/2/17,徐亮,STATION CREDIT （客户投诉价格过高于市场价）,548538.97
GH10052,SAMUEL OPOKU MENSAH BATTERY (KUMASI),77520,2026/1/10,KOFI,SEND TO STATION PAID 10w CHEQUE,593218.6
GH10053,ALPHA AUTO PARTS (KUMASI),6300,2026/2/5,KOFI,SEND TO STAION ON CREDIT,316310.63
GH10057,MESSIAH HIGHEST (KUMASI),95460,2026/1/26,KOFI,SEND TO STATION ON CREDIT,319147
GH10059,JONPE,,,KOFI,,17845.9
GH10062,JONES,,,KOFI,,3485
GH10063,WORSHIP MOTORS (KUMASI),4594,2023/1/30,ENOCH,"PICKUP,GOT THE CASH",601
GH10064,YAW OPPONG AUTO PARTS (KUMASI),163397,2025/9/7,KOFI,SEND TO STATION ADD 10 COATS,131862.1
GH10067,D.NTIAMOA (KUMASI),27700,2026/1/15,KOFI,"KOFI,SEND TO STATION PAY CHEQUE",29838
GH10068,AKWASI ACHEAMPONG (KUMASI),10620,2026/2/17,KOFI,PICK UP MOMO LATIFA,100185.02
GH10069,MARANATHA AUTO PARTS (KUMASI),14831.2,2025/11/11,KOFI,TO STATION CREDIT 买十送一 MARVIN,18035.7
GH10074,AZAY ENTERPRISES (KUMASI),10110,2025/6/17,ENOCH,TAFO STATION CASH,1000
GH10075,NANA OSEI/ISAAC AFRIYIE ENTERPRISE (KUMASI),19135,2025/8/7,KOFI,TAFO STATION CASH 李,135
GH10076,MISS K VENTURES (KPONE),2380,2025/6/30,AMOAH HILDA,PICK UP CASH,6840
GH10082,GOOD FATHER ENT (KOKOMPE),12150,2026/1/7,PRINCE B,TO SHOP CASH MARVIN,96411
GH10084,ALEX BOAT SPARE (KOFORIDUA),2570.5,2026/2/13,PRINCE B,PICK UP CASH PRINCE B,184987.66
GH10085,DE SABKU MOTORS ENT (KOFORIDUA),2420,2026/1/26,PRINCE B,SHOP CASH PRINCE B,45067.9
GH10086,BY HIS GRACE MOTORS (KOFORIDUA),29540,2026/2/17,PRINCE B,PICK UP ON CREDIT,215973.11
